[2026-05-06 09:24:25,573] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.45
[2026-05-06 09:24:25,573] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:24:35,923] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.48
[2026-05-06 09:24:35,923] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:24:46,231] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.43
[2026-05-06 09:24:46,232] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:24:56,541] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.42 | VEL: 0.41
[2026-05-06 09:24:56,541] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:25:06,898] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.42 | VEL: 0.41
[2026-05-06 09:25:06,898] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:25:17,211] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.41 | VEL: 0.27
[2026-05-06 09:25:17,211] INFO:  >> [GUARD] EURUSD position already active. Skipping.
